City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Bayshore Gardens,US,27.43,-82.59,89.6,70,20,6.93,few clouds
323,Estreito,BR,-5.78,-43.25,76.96,41,0,1.97,clear sky
324,Kulhudhuffushi,MV,6.62,73.07,82.26,80,74,15.93,light rain
325,Abhaynagar,BD,23.01,89.4,81.68,87,75,7.61,broken clouds
326,Aksay,RU,47.26,39.87,69.8,28,100,20.13,overcast clouds
327,Palauig,PH,15.44,119.9,85.17,74,8,6.85,clear sky
328,Port Hardy,CA,50.7,-127.42,62.6,82,75,6.93,fog
329,Jalesar,IN,27.48,78.32,83.28,73,14,2.04,few clouds
330,Samaro,PK,25.28,69.4,83.1,77,100,10.02,overcast clouds
331,Alirajpur,IN,22.3,74.35,77.25,84,98,0.56,overcast clouds
332,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,75,14.99,light intensity shower rain
333,Lubango,AO,-14.92,13.49,63.73,43,26,5.1,scattered clouds
334,Poronaysk,RU,49.22,143.12,68.43,87,44,10.51,scattered clouds
335,Laguna,US,38.42,-121.42,96.01,24,1,3.36,clear sky
336,Charters Towers,AU,-20.1,146.27,78.58,37,0,8.75,clear sky
337,Mayo,US,38.89,-76.51,80.6,83,90,8.05,overcast clouds
338,Rio Gallegos,AR,-51.62,-69.22,37.4,93,75,6.93,broken clouds
339,Khasan,RU,42.43,130.64,67.57,78,1,5.79,clear sky
340,Faya,SA,18.39,42.45,66.2,36,0,1.88,clear sky
341,Manzhouli,CN,49.6,117.43,56.28,84,99,9.31,overcast clouds
342,Lac Du Bonnet,CA,50.25,-96.06,61.0,99,0,6.17,clear sky
343,Port Hedland,AU,-20.32,118.57,82.4,24,84,5.82,broken clouds
344,San Vicente,AR,-26.62,-54.13,60.26,84,0,3.13,clear sky
345,Longhua,CN,23.61,114.19,84.43,74,2,1.14,light rain
346,Muravlenko,RU,63.79,74.52,40.14,85,45,20.04,scattered clouds
347,Narsaq,GL,60.92,-46.05,42.8,93,98,3.36,light rain
348,Mtwara,TZ,-10.27,40.18,69.19,90,2,9.69,clear sky
349,Zhigansk,RU,66.77,123.37,48.31,92,100,2.24,light rain
350,Sabang,ID,5.89,95.32,82.36,73,100,9.82,overcast clouds
351,Lorengau,PG,-2.02,147.27,85.05,72,44,6.4,light rain
352,Cravo Norte,CO,6.3,-70.2,80.11,76,18,2.21,few clouds
